close_time,symbol,side,reason,entry_price,exit_price,amount,pnl,pnl_pct,balance,entry_time,adx,rsi,atr_pct
2026-03-25T00:00:07.509558+00:00,BTC/USDT,SHORT,TIMEOUT,70361.48,70581.61,150.0,-0.4693,-0.31,593.24,2026-03-24T04:32:26.808055+00:00,0,0,0
2026-03-25T00:00:07.783913+00:00,ETH/USDT,SHORT,TIMEOUT,2134.82,2156.81,127.5,-1.3133,-1.03,719.42,2026-03-24T04:32:27.119357+00:00,0,0,0
2026-03-25T00:00:08.058820+00:00,AVAX/USDT,SHORT,TIMEOUT,9.5,9.64,108.375,-1.5971,-1.47,826.2,2026-03-24T04:32:28.356329+00:00,0,0,0
2026-03-25T00:00:08.334706+00:00,LINK/USDT,LONG,TIMEOUT,9.07,9.25,92.1187,1.8282,1.98,920.15,2026-03-24T04:32:28.657265+00:00,0,0,0
2026-03-25T00:00:08.609376+00:00,ADA/USDT,LONG,TIMEOUT,0.26,0.2667,78.3009,2.0178,2.58,1000.47,2026-03-24T04:32:28.950590+00:00,0,0,0
2026-03-25T00:21:38.448193+00:00,NEAR/USDT,LONG,SL,1.292,1.292646,150.0699,0.075,0.05,594.06,2026-03-25T00:00:11.726947+00:00,20.7,50.4,0.00464
2026-03-25T00:30:37.781899+00:00,DOGE/USDT,LONG,SL,0.09524,0.09484549380823903,127.5594,-0.5284,-0.41,631.98,2026-03-25T00:15:21.032683+00:00,35.5,75.5,0.00414
2026-03-25T00:30:38.056069+00:00,ADA/USDT,LONG,SL,0.2681,0.26682951579829967,108.4255,-0.5138,-0.47,739.89,2026-03-25T00:15:21.960668+00:00,41.0,79.0,0.00474
2026-03-25T00:30:38.332498+00:00,SUI/USDT,LONG,SL,0.9566,0.9525230355838202,92.1617,-0.3928,-0.43,831.66,2026-03-25T00:15:22.259244+00:00,43.5,77.5,0.00426
2026-03-25T00:30:38.608258+00:00,WIF/USDT,LONG,SL,0.193,0.19112877266468326,78.3374,-0.7595,-0.97,909.24,2026-03-25T00:15:22.863578+00:00,36.0,54.9,0.0097
2026-03-25T00:38:31.457348+00:00,WIF/USDT,SHORT,SL,0.191,0.19281433517368377,136.3857,-1.2955,-0.95,907.94,2026-03-25T00:30:42.314293+00:00,35.5,46.2,0.0095
2026-03-25T00:40:46.248490+00:00,NEAR/USDT,SHORT,SL,1.292,1.297942287136657,89.1086,-0.4098,-0.46,860.45,2026-03-25T00:30:07.494337+00:00,14.2,49.0,0.0046
2026-03-25T00:41:20.272647+00:00,WIF/USDT,SHORT,SL,0.193,0.1929035,136.1914,0.0681,0.05,867.64,2026-03-25T00:38:34.868489+00:00,35.5,46.2,0.0094
2026-03-25T01:07:48.355548+00:00,WIF/USDT,SHORT,SL,0.193,0.1929035,130.1463,0.0651,0.05,583.13,2026-03-25T00:41:23.952551+00:00,35.5,46.2,0.0094
2026-03-25T01:26:09.148379+00:00,SOL/USDT,LONG,SL,91.48,91.02270818416005,79.9261,-0.3995,-0.5,575.18,2026-03-25T00:45:17.948905+00:00,36.3,76.4,0.005
2026-03-25T01:34:48.660454+00:00,BTC/USDT,LONG,SL,70931.05,70645.53294256046,110.6243,-0.4453,-0.4,599.09,2026-03-25T00:45:17.361349+00:00,41.7,73.3,0.00403
2026-03-25T01:42:05.621166+00:00,NEAR/USDT,SHORT,SL,1.298,1.2950288564316716,129.0675,0.2954,0.23,728.45,2026-03-25T00:40:49.653276+00:00,14.2,49.0,0.00458
